Op,duration,Reg/Trd,Mem,Thread
conv2d,114790,120,120,145216
relu,8896,16,16,145216
max_pool2d,20001,27,27,145216
conv2d,220682,124,124,145216
relu,6433,16,16,145216
max_pool2d,13536,27,27,145216
conv2d,1584842,67,67,145216
relu,4448,16,16,145216
conv2d,140358,128,128,145216
relu,4000,16,16,145216
conv2d,94949,128,128,145216
relu,3936,16,16,145216
max_pool2d,7457,27,27,145216
adaptive_avg_pool2d,17505,40,40,196608
dropout,7744,48,48,196608
linear,8640,16,16,196608
relu,2528,16,16,196608
dropout,3744,48,48,196608
linear,5697,16,16,196608
relu,2497,16,16,196608
linear,6241,16,16,196608
