Op,duration,Reg/Trd,Mem,Thread
conv2d,68767,160,160,48448
relu,4224,20,20,48448
max_pool2d,7455,26,26,48448
conv2d,214942,128,128,98304
relu,3616,20,20,98304
max_pool2d,6560,26,26,98304
conv2d,95871,126,126,98304
relu,3392,20,20,98304
conv2d,148540,126,126,98304
relu,3264,20,20,98304
conv2d,101407,126,126,98304
relu,3200,20,20,98304
max_pool2d,4288,26,26,98304
adaptive_avg_pool2d,8992,51,51,98304
dropout,3648,30,30,98304
linear,498265,49,2560,98304
relu,2944,20,20,98304
dropout,3680,30,30,98304
linear,219933,49,2560,98304
relu,2880,20,20,98304
linear,57631,49,2560,98304
