Op,duration,Reg/Trd,Mem,Thread
conv2d,75266,72,72,48448
relu,4352,16,16,48448
max_pool2d,8544,27,27,48448
conv2d,211719,62,62,48448
relu,4001,16,16,48448
max_pool2d,6976,27,27,48448
conv2d,77380,128,128,73728
relu,3424,16,16,73728
conv2d,99301,128,128,98304
relu,3201,16,16,98304
conv2d,71042,128,128,98304
relu,3136,16,16,98304
max_pool2d,5952,27,27,98304
adaptive_avg_pool2d,8544,40,40,98304
dropout,7457,48,48,98304
linear,463535,43,43,1835008
relu,2752,16,16,1835008
dropout,3935,48,48,1835008
linear,188711,36,1536,1835008
relu,2656,16,16,1835008
linear,51106,36,1536,1835008
