Op,duration,Reg/Trd,Mem,Thread
conv2d,108862,160,160,96832
relu,5856,20,20,96832
max_pool2d,11232,26,26,96832
conv2d,368348,128,128,98304
relu,4672,20,20,98304
max_pool2d,8991,26,26,98304
conv2d,157406,126,126,98304
relu,3808,20,20,98304
conv2d,247580,126,126,98304
relu,3648,20,20,98304
conv2d,178077,126,126,98304
relu,3488,20,20,98304
max_pool2d,4704,26,26,98304
adaptive_avg_pool2d,13888,51,51,131072
dropout,3936,30,30,131072
linear,519640,60,3072,131072
relu,3488,20,20,131072
dropout,3808,30,30,131072
linear,236220,60,3072,131072
relu,2944,20,20,131072
linear,104671,64,4868,131072
