Op,duration,Reg/Trd,Mem,Thread
conv2d,89669,120,120,96832
relu,6784,16,16,96832
max_pool2d,14433,27,27,96832
conv2d,207210,124,124,96832
relu,5217,16,16,96832
max_pool2d,11649,27,27,96832
conv2d,94020,128,128,96832
relu,4000,16,16,96832
conv2d,135655,128,128,98304
relu,3648,16,16,98304
conv2d,92739,128,128,98304
relu,3584,16,16,98304
max_pool2d,6785,27,27,98304
adaptive_avg_pool2d,13313,40,40,131072
dropout,7233,48,48,131072
linear,8512,16,16,131072
relu,2336,16,16,131072
dropout,3617,48,48,131072
linear,5472,16,16,131072
relu,2336,16,16,131072
linear,5184,16,16,131072
