Op,duration,Reg/Trd,Mem,Thread
conv2d,95077,124,16384,25088
__add__,3680,24,24,25088
batch_norm,121734,32,144,32768
relu,33505,16,16,401408
max_pool2d,47586,27,27,401408
conv2d,62595,128,32768,401408
__add__,3296,24,24,401408
batch_norm,18945,58,6288,401408
relu,6400,16,16,401408
conv2d,57379,128,32768,401408
__add__,3008,24,24,401408
batch_norm,16352,58,6288,401408
__iadd__,9216,16,16,401408
relu,6464,16,16,401408
conv2d,58083,128,32768,401408
__add__,3008,24,24,401408
batch_norm,17280,58,6288,401408
relu,6400,16,16,401408
conv2d,57122,128,32768,401408
__add__,3040,24,24,401408
batch_norm,16544,58,6288,401408
__iadd__,9568,16,16,401408
relu,6400,16,16,401408
conv2d,84932,128,10496,401408
__add__,2976,24,24,401408
batch_norm,13120,38,8336,401408
relu,4480,16,16,401408
conv2d,55618,128,49152,401408
__add__,3008,24,24,401408
batch_norm,11136,38,8336,401408
conv2d,33058,128,16384,401408
__add__,2848,24,24,401408
batch_norm,11392,38,8336,401408
__iadd__,5760,16,16,401408
relu,4416,16,16,401408
conv2d,55522,128,49152,401408
__add__,2688,24,24,401408
batch_norm,11745,38,8336,401408
relu,4384,16,16,401408
conv2d,45730,128,49152,401408
__add__,2848,24,24,401408
batch_norm,11457,38,8336,401408
__iadd__,5472,16,16,401408
relu,4417,16,16,401408
conv2d,142278,128,10496,401408
__add__,3040,24,24,401408
batch_norm,14497,38,2192,401408
relu,3488,16,16,401408
conv2d,92772,128,49152,401408
__add__,3200,24,24,401408
batch_norm,14592,38,2192,401408
conv2d,37986,124,32768,401408
__add__,2592,24,24,401408
batch_norm,13312,38,2192,401408
__iadd__,3552,16,16,401408
relu,3552,16,16,401408
conv2d,91876,128,49152,401408
__add__,3360,24,24,401408
batch_norm,14689,38,2192,401408
relu,3521,16,16,401408
conv2d,84100,128,49152,401408
__add__,2977,24,24,401408
batch_norm,14753,38,2192,401408
__iadd__,3745,16,16,401408
relu,3584,16,16,401408
conv2d,240202,71,2304,401408
__add__,2816,24,24,401408
batch_norm,22465,38,2192,401408
relu,2976,16,16,401408
conv2d,166312,128,49152,401408
__add__,3040,24,24,401408
batch_norm,23105,38,2192,401408
conv2d,33537,64,4608,401408
__add__,2560,24,24,401408
batch_norm,21537,38,2192,401408
__iadd__,3073,16,16,401408
relu,3040,16,16,401408
conv2d,166696,128,49152,401408
__add__,3072,24,24,401408
batch_norm,23201,38,2192,401408
relu,3008,16,16,401408
conv2d,159495,128,49152,401408
__add__,3008,24,24,401408
batch_norm,23073,38,2192,401408
__iadd__,3008,16,16,401408
relu,3008,16,16,401408
adaptive_avg_pool2d,7200,30,30,401408
linear,8064,16,16,401408
