Op,duration,Reg/Trd,Mem,Thread
conv2d,60066,124,16384,12800
__add__,3585,24,24,12800
batch_norm,34786,64,10384,32768
relu,15840,16,16,200704
max_pool2d,27297,27,27,200704
conv2d,40642,128,49152,200704
__add__,3392,24,24,200704
batch_norm,10848,38,14480,200704
relu,4352,16,16,200704
conv2d,30273,128,49152,200704
__add__,3040,24,24,200704
batch_norm,8576,38,14480,200704
__iadd__,5344,16,16,200704
relu,4384,16,16,200704
conv2d,31106,128,49152,200704
__add__,3041,24,24,200704
batch_norm,9153,38,14480,200704
relu,4384,16,16,200704
conv2d,28705,128,49152,200704
__add__,3008,24,24,200704
batch_norm,8512,38,14480,200704
__iadd__,5376,16,16,200704
relu,4384,16,16,200704
conv2d,78564,124,16384,200704
__add__,3072,24,24,200704
batch_norm,9920,38,4240,200704
relu,3328,16,16,200704
conv2d,51299,128,49152,200704
__add__,3008,24,24,200704
batch_norm,10144,38,4240,200704
conv2d,31969,124,16384,200704
__add__,3104,24,24,200704
batch_norm,9185,38,4240,200704
__iadd__,3585,16,16,200704
relu,3520,16,16,200704
conv2d,50466,128,49152,200704
__add__,3296,24,24,200704
batch_norm,10113,38,4240,200704
relu,3488,16,16,200704
conv2d,43235,128,49152,200704
__add__,2880,24,24,200704
batch_norm,10624,38,4240,200704
__iadd__,4000,16,16,200704
relu,3488,16,16,200704
conv2d,142374,128,10496,200704
__add__,2912,24,24,200704
batch_norm,13440,38,2192,200704
relu,3264,16,16,200704
conv2d,74756,128,49152,200704
__add__,3456,24,24,200704
batch_norm,15137,38,2192,200704
conv2d,35938,124,16384,200704
__add__,2656,24,24,200704
batch_norm,13088,38,2192,200704
__iadd__,3008,16,16,200704
relu,3008,16,16,200704
conv2d,73059,128,49152,200704
__add__,3520,24,24,200704
batch_norm,15073,38,2192,200704
relu,2976,16,16,200704
conv2d,63937,128,49152,200704
__add__,3584,24,24,200704
batch_norm,15168,38,2192,200704
__iadd__,3232,16,16,200704
relu,2912,16,16,200704
conv2d,225035,62,2304,200704
__add__,3264,24,24,200704
batch_norm,22049,38,2192,262144
relu,2624,16,16,262144
conv2d,165799,128,32768,262144
__add__,3296,24,24,262144
batch_norm,22753,38,2192,262144
conv2d,34562,64,4608,262144
__add__,2624,24,24,262144
batch_norm,21825,38,2192,262144
__iadd__,2784,16,16,262144
relu,2784,16,16,262144
conv2d,164199,128,32768,262144
__add__,3296,24,24,262144
batch_norm,23074,38,2192,262144
relu,2720,16,16,262144
conv2d,157799,128,32768,262144
__add__,3361,24,24,262144
batch_norm,23041,38,2192,262144
__iadd__,2848,16,16,262144
relu,2784,16,16,262144
adaptive_avg_pool2d,7168,30,30,262144
linear,11488,36,1536,262144
