Op,duration,Reg/Trd,Mem,Thread
conv2d,184799,160,16384,37632
__add__,2783,20,20,37632
batch_norm,184415,48,144,37632
relu,66432,20,20,602112
max_pool2d,69696,26,26,602112
conv2d,147680,126,49152,602112
__add__,2784,20,20,602112
batch_norm,47903,48,144,602112
relu,10656,20,20,602112
conv2d,146176,126,49152,602112
__add__,2784,20,20,602112
batch_norm,48447,48,144,602112
__iadd__,21792,20,20,602112
relu,10848,20,20,602112
conv2d,146783,126,49152,602112
__add__,2784,20,20,602112
batch_norm,47328,48,144,602112
relu,10656,20,20,602112
conv2d,145568,126,49152,602112
__add__,2753,20,20,602112
batch_norm,48287,48,144,602112
__iadd__,21824,20,20,602112
relu,10016,20,20,602112
conv2d,607743,79,6400,602112
__add__,2816,20,20,602112
batch_norm,16064,38,10384,602112
relu,4863,20,20,602112
conv2d,165856,126,49152,602112
__add__,2784,20,20,602112
batch_norm,15904,38,10384,602112
conv2d,27712,128,16384,602112
__add__,2689,20,20,602112
batch_norm,14079,38,10384,602112
__iadd__,9408,20,20,602112
relu,5184,20,20,602112
conv2d,167359,126,49152,602112
__add__,2784,20,20,602112
batch_norm,15872,38,10384,602112
relu,4864,20,20,602112
conv2d,167423,126,49152,602112
__add__,2752,20,20,602112
batch_norm,16031,38,10384,602112
__iadd__,7584,20,20,602112
relu,5472,20,20,602112
conv2d,171615,128,4224,602112
__add__,2784,20,20,602112
batch_norm,17408,38,4240,602112
relu,3776,20,20,602112
conv2d,180768,126,49152,602112
__add__,2816,20,20,602112
batch_norm,18272,38,4240,602112
conv2d,28160,128,16384,602112
__add__,2464,20,20,602112
batch_norm,17344,38,4240,602112
__iadd__,4384,20,20,602112
relu,3712,20,20,602112
conv2d,180640,126,49152,602112
__add__,2752,20,20,602112
batch_norm,18400,38,4240,602112
relu,3712,20,20,602112
conv2d,177439,126,49152,602112
__add__,2784,20,20,602112
batch_norm,18336,38,4240,602112
__iadd__,4608,20,20,602112
relu,3712,20,20,602112
conv2d,274783,128,16384,602112
__add__,3168,20,20,602112
batch_norm,25728,38,2192,602112
relu,3200,20,20,602112
conv2d,619198,128,4224,2097152
__add__,3264,20,20,2097152
batch_norm,25696,38,2192,2097152
conv2d,43360,128,16384,2097152
__add__,2464,20,20,2097152
batch_norm,25568,38,2192,2097152
__iadd__,3488,20,20,2097152
relu,3200,20,20,2097152
conv2d,620830,128,4224,2097152
__add__,2752,20,20,2097152
batch_norm,26208,38,2192,2097152
relu,3168,20,20,2097152
conv2d,618942,128,4224,2097152
__add__,2784,20,20,2097152
batch_norm,25664,38,2192,2097152
__iadd__,3648,20,20,2097152
relu,3168,20,20,2097152
adaptive_avg_pool2d,8384,30,30,2097152
linear,47808,57,16384,2097152
