Op,duration,Reg/Trd,Mem,Thread
conv2d,133221,124,16384,37632
__add__,3841,24,24,37632
batch_norm,131494,32,144,37632
relu,51267,16,16,602112
max_pool2d,69731,27,27,602112
conv2d,83140,128,32768,602112
__add__,3489,24,24,602112
batch_norm,25986,58,18576,602112
relu,8320,16,16,602112
conv2d,81636,128,32768,602112
__add__,3552,24,24,602112
batch_norm,23873,58,18576,602112
__iadd__,19169,16,16,602112
relu,9409,16,16,602112
conv2d,81380,128,32768,602112
__add__,3520,24,24,602112
batch_norm,23489,58,18576,602112
relu,8384,16,16,602112
conv2d,81892,128,32768,602112
__add__,3456,24,24,602112
batch_norm,23937,58,18576,602112
__iadd__,18017,16,16,602112
relu,9217,16,16,602112
conv2d,115622,128,10496,602112
__add__,3488,24,24,602112
batch_norm,14240,38,10384,602112
relu,5280,16,16,602112
conv2d,169767,128,10496,602112
__add__,3488,24,24,602112
batch_norm,13441,38,10384,602112
conv2d,31585,128,16384,602112
__add__,3296,24,24,602112
batch_norm,13057,38,10384,602112
__iadd__,7905,16,16,602112
relu,5472,16,16,602112
conv2d,167176,128,10496,602112
__add__,3680,24,24,602112
batch_norm,13921,38,10384,602112
relu,5216,16,16,602112
conv2d,162919,128,10496,602112
__add__,3584,24,24,602112
batch_norm,14625,38,10384,602112
__iadd__,6272,16,16,602112
relu,5472,16,16,602112
conv2d,134181,128,10496,602112
__add__,3584,24,24,602112
batch_norm,16545,38,4240,602112
relu,4257,16,16,602112
conv2d,275148,120,16640,602112
__add__,3552,24,24,602112
batch_norm,18208,38,4240,602112
conv2d,38114,124,32768,602112
__add__,3232,24,24,602112
batch_norm,15329,38,4240,602112
__iadd__,4288,16,16,602112
relu,4000,16,16,602112
conv2d,276204,120,16640,602112
__add__,3488,24,24,602112
batch_norm,18017,38,4240,602112
relu,3968,16,16,602112
conv2d,276077,120,16640,602112
__add__,3552,24,24,602112
batch_norm,18464,38,4240,602112
__iadd__,4256,16,16,602112
relu,3968,16,16,602112
conv2d,242507,71,2304,602112
__add__,3232,24,24,602112
batch_norm,23457,38,2192,602112
relu,3136,16,16,602112
conv2d,375728,62,2304,602112
__add__,3456,24,24,602112
batch_norm,23073,38,2192,602112
conv2d,49379,124,16384,602112
__add__,2848,24,24,602112
batch_norm,22113,38,2192,602112
__iadd__,3199,16,16,602112
relu,3264,16,16,602112
conv2d,377968,62,2304,602112
__add__,3456,24,24,602112
batch_norm,22977,38,2192,602112
relu,3136,16,16,602112
conv2d,374449,62,2304,602112
__add__,3456,24,24,602112
batch_norm,22881,38,2192,602112
__iadd__,3520,16,16,602112
relu,3072,16,16,602112
adaptive_avg_pool2d,7200,30,30,602112
linear,7488,16,16,602112
