Op,duration,Reg/Trd,Mem,Thread
conv2d,82623,160,16384,12800
__add__,2816,20,20,12800
batch_norm,136223,48,144,32768
relu,17984,20,20,200704
max_pool2d,25312,26,26,200704
conv2d,54207,126,49152,200704
__add__,2464,20,20,200704
batch_norm,11104,38,14480,200704
relu,4160,20,20,200704
conv2d,51936,126,49152,200704
__add__,2432,20,20,200704
batch_norm,10528,38,14480,200704
__iadd__,5856,20,20,200704
relu,4160,20,20,200704
conv2d,52000,126,49152,200704
__add__,2464,20,20,200704
batch_norm,10592,38,14480,200704
relu,4128,20,20,200704
conv2d,51967,126,49152,200704
__add__,2464,20,20,200704
batch_norm,10464,38,14480,200704
__iadd__,5888,20,20,200704
relu,4096,20,20,200704
conv2d,76704,80,2304,200704
__add__,2496,20,20,200704
batch_norm,11295,38,4240,200704
relu,3392,20,20,200704
conv2d,86272,126,49152,200704
__add__,2464,20,20,200704
batch_norm,11424,38,4240,200704
conv2d,20928,128,5376,200704
__add__,2463,20,20,200704
batch_norm,11360,38,4240,200704
__iadd__,3713,20,20,200704
relu,3489,20,20,200704
conv2d,82688,126,49152,200704
__add__,2495,20,20,200704
batch_norm,11487,38,4240,200704
relu,3392,20,20,200704
conv2d,82176,126,49152,200704
__add__,2528,20,20,200704
batch_norm,11424,38,4240,200704
__iadd__,4480,20,20,200704
relu,3392,20,20,200704
conv2d,102943,80,2304,200704
__add__,2496,20,20,200704
batch_norm,15264,38,2192,200704
relu,2976,20,20,200704
conv2d,100511,126,49152,200704
__add__,2816,20,20,200704
batch_norm,15423,38,2192,200704
conv2d,28960,128,5376,200704
__add__,2463,20,20,200704
batch_norm,15392,38,2192,200704
__iadd__,3360,20,20,200704
relu,3040,20,20,200704
conv2d,98496,126,49152,200704
__add__,2784,20,20,200704
batch_norm,15424,38,2192,200704
relu,2944,20,20,200704
conv2d,99232,126,49152,200704
__add__,2783,20,20,200704
batch_norm,15424,38,2192,200704
__iadd__,3359,20,20,200704
relu,2976,20,20,200704
conv2d,199328,128,4224,1048576
__add__,2816,20,20,1048576
batch_norm,25856,38,2192,1048576
relu,2720,20,20,1048576
conv2d,253536,126,49152,1048576
__add__,2784,20,20,1048576
batch_norm,25952,38,2192,1048576
conv2d,32128,128,4224,1048576
__add__,2464,20,20,1048576
batch_norm,25504,38,2192,1048576
__iadd__,2848,20,20,1048576
relu,2720,20,20,1048576
conv2d,253919,126,49152,1048576
__add__,3200,20,20,1048576
batch_norm,25856,38,2192,1048576
relu,2720,20,20,1048576
conv2d,254687,126,49152,1048576
__add__,2720,20,20,1048576
batch_norm,25663,38,2192,1048576
__iadd__,3008,20,20,1048576
relu,2720,20,20,1048576
adaptive_avg_pool2d,6496,30,30,1048576
linear,10880,49,2560,1048576
